gene_id	colors
Amillepora05293-RA	turquoise
Amillepora05311-RA	turquoise
Amillepora05343-RA	turquoise
Amillepora05388-RA	blue
Amillepora05488-RA	blue
Amillepora05507-RA	brown
Amillepora05503-RA	blue
Amillepora05568-RA	blue
Amillepora05578-RA	blue
Amillepora05588-RA	brown
Amillepora05601-RA	brown
Amillepora05613-RA	turquoise
Amillepora05616-RA	blue
Amillepora05675-RA	brown
Amillepora05682-RA	turquoise
Amillepora05713-RA	grey
Amillepora05725-RA	blue
Amillepora05764-RA	blue
Amillepora05752-RA	turquoise
Amillepora05793-RA	blue
Amillepora05838-RA	grey
Amillepora05842-RA	brown
Amillepora05855-RA	blue
Amillepora05866-RA	blue
Amillepora05878-RA	turquoise
Amillepora05901-RA	brown
Amillepora05916-RA	turquoise
Amillepora05923-RA	turquoise
Amillepora05991-RA	blue
Amillepora05992-RA	turquoise
Amillepora06100-RA	turquoise
Amillepora06126-RA	turquoise
Amillepora06145-RA	turquoise
Amillepora21890-RA	turquoise
Amillepora21900-RA	turquoise
Amillepora21903-RA	blue
Amillepora21907-RA	turquoise
Amillepora21932-RA	turquoise
Amillepora21929-RA	grey
Amillepora21948-RA	turquoise
Amillepora21942-RA	blue
Amillepora21967-RA	blue
Amillepora22022-RA	turquoise
Amillepora22034-RA	turquoise
Amillepora22064-RA	turquoise
Amillepora22099-RA	blue
Amillepora22096-RA	brown
Amillepora22098-RA	blue
Amillepora22120-RA	turquoise
Amillepora22153-RA	turquoise
Amillepora22175-RA	turquoise
Amillepora22182-RA	grey
Amillepora22267-RA	blue
Amillepora22266-RA	blue
Amillepora22311-RA	grey
Amillepora22334-RA	brown
Amillepora22340-RA	turquoise
Amillepora22345-RA	blue
Amillepora22470-RA	turquoise
Amillepora22491-RA	blue
Amillepora22512-RA	turquoise
Amillepora22520-RA	turquoise
Amillepora22597-RA	brown
Amillepora22643-RA	turquoise
Amillepora22713-RA	brown
Amillepora22726-RA	brown
Amillepora22756-RA	brown
Amillepora22851-RA	turquoise
Amillepora22874-RA	turquoise
Amillepora22893-RA	brown
Amillepora22894-RA	brown
Amillepora22965-RA	brown
Amillepora22976-RA	blue
Amillepora23102-RA	brown
Amillepora23165-RA	turquoise
Amillepora23160-RA	turquoise
Amillepora23161-RA	turquoise
Amillepora23159-RA	turquoise
Amillepora23168-RA	turquoise
Amillepora23192-RA	brown
Amillepora23197-RA	turquoise
Amillepora23199-RA	turquoise
